date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191026,Suns,Clippers,home,92.0,41.5,44.76744186046511,25.0,23.0,90.10416666666667,30.5,9.5,30.95238095238095,28.0,5.0,49.0,9.0,15.5,10.0,8,0,226.0,26.0,O,-1
20191026,Seventysixers,Pistons,away,85.0,37.0,43.529411764705884,36.0,26.0,72.2222222222222,29.0,7.0,24.13793103448276,24.0,7.0,62.0,6.0,15.0,-5.0,6,1,215.0,13.0,O,1
20191026,Jazz,Kings,home,80.0,34.5,42.93650793650794,20.5,17.0,82.61904761904762,24.5,7.0,28.5,17.0,3.5,44.5,6.0,16.5,-9.5,32,1,229.0,-35.0,U,-1
20191026,Bucks,Heat,home,99.0,46.0,46.464646464646464,18.0,9.0,50.0,46.0,16.0,34.78260869565217,31.0,10.0,53.0,7.0,11.0,-10.5,-5,1,226.5,30.5,O,1
20191026,Knicks,Celtics,home,87.5,41.0,46.86104544260573,23.0,14.5,64.68253968253967,27.5,13.5,50.666666666666664,20.5,2.5,39.0,15.0,20.0,5.5,-23,0,214.0,-1.0,U,-2
20191026,Heat,Bucks,away,85.0,40.0,47.058823529411754,39.0,33.0,84.61538461538461,18.0,7.0,38.888888888888886,18.0,8.0,51.0,9.0,21.0,10.5,5,0,226.5,30.5,O,1
20191026,Rockets,Pelicans,home,90.0,33.0,36.66666666666666,39.0,29.0,74.35897435897436,48.0,16.0,33.33333333333333,25.0,6.0,57.0,6.0,14.0,-10.5,3,1,239.0,10.0,O,-1
20191026,Cavaliers,Pacers,home,89.0,33.0,37.078651685393254,15.0,10.0,66.66666666666666,34.0,9.0,26.470588235294123,20.0,2.0,54.0,8.0,16.0,5.0,11,1,213.5,-4.5,U,-1
20191026,Hawks,Magic,home,86.0,44.0,51.16279069767442,21.0,18.0,85.71428571428571,31.0,11.0,35.483870967741936,27.0,2.0,42.0,9.0,13.0,2.5,4,1,216.5,-14.5,U,1
20191026,Wizards,Spurs,away,95.0,38.0,39.99556590178472,14.0,11.5,81.66666666666667,41.0,11.0,26.82926829268293,23.5,4.5,47.0,7.5,16.0,11.5,-2,0,220.0,26.0,O,1
20191026,Pelicans,Rockets,away,100.0,44.0,44.03761504601841,17.5,14.0,79.16666666666666,43.0,17.0,39.40379403794038,30.0,6.0,50.5,5.0,16.5,10.5,-3,0,239.0,10.0,O,-2
